config_id,iteration,seed,rule_kl_coef,entropy_coef,lr,approx_kl,clip_fraction,entropy,rule_kl,rule_agreement,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate,rank_pt,fourth_rate,deal_in_rate,batch_size,episode_count,illegal_action_rate,fallback_rate,forced_terminal_missed
35,0,23760425,0.01,0.01,0.0003,0.0,0.0,1.4820938110351562,-6.505325700345566e-08,1.0,0.00032662582816556096,0.0006113536655902863,0.0,-0.25,0.5,0.0,34,2,0.0,0.0,0
35,1,23770425,0.01,0.01,0.0003,1.7384973668987946e-11,0.0,1.5138206481933594,-1.7719534284310612e-08,1.0,0.000653079419862479,0.0010493460576981306,0.0,-0.25,0.5,0.0,27,2,0.0,0.0,0
35,2,23780425,0.01,0.01,0.0003,6.120118301033983e-11,0.0,1.467685341835022,1.61249751329251e-08,1.0,0.0008800506475381553,0.001279474119655788,0.0,-0.25,0.5,0.0,31,2,0.0,0.0,0
36,0,23860425,0.02,0.0,3e-05,0.0,0.0,1.4674160480499268,-1.2116402103856672e-08,1.0,2.406581916147843e-05,5.2113231504336e-05,0.0,0.5,0.0,0.0,20,2,0.0,0.0,0
36,1,23870425,0.02,0.0,3e-05,3.722470465553074e-13,0.0,1.4498045444488525,-1.2130561444223531e-08,1.0,1.2778597920259926e-05,6.155762821435928e-05,0.0,0.75,0.0,0.0,31,2,0.0,0.0,0
36,2,23880425,0.02,0.0,3e-05,1.4323596562310081e-12,0.0,1.5385175943374634,-1.0654334303694668e-08,1.0,1.9767046978813596e-05,6.36338590993546e-05,0.0,0.75,0.0,0.0,31,2,0.0,0.0,0
37,0,23960425,0.02,0.0,0.0001,0.0,0.0,1.3566558361053467,8.395025785645771e-10,1.0,5.547062755795196e-05,0.00013897070311941206,0.0,0.75,0.0,0.0,35,2,0.0,0.0,0
37,1,23970425,0.02,0.0,0.0001,2.1972851056012432e-12,0.0,1.604597568511963,-6.88850434471533e-08,1.0,0.0001942146336659789,0.00034834627876989543,0.0,-0.5,0.5,0.0,13,2,0.0,0.0,0
37,2,23980425,0.02,0.0,0.0001,1.0925645804737982e-11,0.0,1.4421449899673462,1.136134741841488e-08,1.0,0.00038936949567869306,0.0006422980804927647,0.0,0.75,0.0,0.0,30,2,0.0,0.0,0
38,0,24060425,0.02,0.0,0.0003,0.0,0.0,1.2416118383407593,-3.090921651960343e-08,1.0,7.985022239154205e-05,0.00031421694438904524,0.0,-0.25,0.5,0.0,35,2,0.0,0.0,0
38,1,24070425,0.02,0.0,0.0003,5.705442368553193e-11,0.0,1.3729939460754395,1.0220466251098514e-08,1.0,0.00015425508900079876,0.0007543349638581276,0.0,-0.25,0.5,0.0,29,2,0.0,0.0,0
38,2,24080425,0.02,0.0,0.0003,3.4537608883944415e-10,0.0,1.4030234813690186,3.041942475690007e-09,1.0,0.00021952958195470273,0.001177923521026969,0.0,-0.25,0.5,0.0,31,2,0.0,0.0,0
39,0,24160425,0.02,0.001,3e-05,0.0,0.0,1.4939895868301392,-3.7763300042570336e-08,1.0,2.8901542464154772e-05,7.041446951916441e-05,0.0,0.75,0.0,0.0,24,2,0.0,0.0,0
39,1,24170425,0.02,0.001,3e-05,4.887448545919451e-14,0.0,1.466584324836731,-3.058193698279865e-08,1.0,4.199195245746523e-05,8.106345921987668e-05,0.0,-0.5,0.5,0.0,18,2,0.0,0.0,0
39,2,24180425,0.02,0.001,3e-05,1.0339876876800172e-13,0.0,1.420320987701416,4.0745362639427185e-10,1.0,6.529418169520795e-05,0.00012192186113679782,0.0,0.75,0.0,0.0,36,2,0.0,0.0,0
